TV Liquid Brunch	Stag Camp	Food	['Sunday, August 25th, 2019, 12 PM – 3 PM ']	cum get wired!
AA Open Meeting	Run Free Camp	Care/Support	['Sunday, August 25th, 2019, 12 PM – 1 PM <--> Monday, August 26th, 2019, 12 PM – 1 PM <--> Tuesday, August 27th, 2019, 12 PM – 1 PM <--> Wednesday, August 28th, 2019, 12 PM – 1 PM <--> Thursday, August 29th, 2019, 12 PM – 1 PM <--> Friday, August 30th, 2019, 12 PM – 1 PM <--> Saturday, August 31st, 2019, 12 PM – 1 PM ']	Open AA meeting. If you think you have a problem with alcohol or drugs, you are welcome to attend. Format changes daily
Ice-Cold Margaritas, Served Daily!	Floristonia	Adult-oriented	['Sunday, August 25th, 2019, 4:15 PM – 5:45 PM <--> Monday, August 26th, 2019, 4:15 PM – 5:45 PM <--> Wednesday, August 28th, 2019, 4:15 PM – 5:45 PM <--> Thursday, August 29th, 2019, 4:15 PM – 5:45 PM <--> Friday, August 30th, 2019, 4:15 PM – 5:45 PM ']	Icy-cold, brain freezing Margaritas are being served daily. Stop on by, late afternoon, for a refreshing concoction. Or, just chill (with ice cold water) in our nurturing, shade filled environment. Everyone is welcome--old friends and new ones! (Minors will not be served alcohol. We check ID's!)
PlanetaryPunk Pen Pal Exchange & Deep Space Museum	Space Punks	Other	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	Come and send a message into deep space to random sentient being who stopped by this way station. Leave your info to receive a message from space! We provide all the materials needed and delivery as well! Open 24/7. Look for the Planetary Punk Pen Pal Exchange Station on our frontage!
Let That Shit GO!!!!!	Space Punks	Other	['Sunday, August 25th, 2019, 6 PM – 6:15 PM ']	Deposit any negative vibes you've been carrying thru your travels in this dimension to the LTSG box 2be delivered past event horizon for destruction! Our Space Punks provide all the materials needed for you to lessen your psychic load. Look for the Let That Shit GO! box located on Space Punks frontage!!
Fwedding Chapel	Friendgasm	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 11:45 PM <--> Monday, August 26th, 2019, 6 PM – 11:45 PM <--> Tuesday, August 27th, 2019, 6 PM – 11:45 PM <--> Wednesday, August 28th, 2019, 6 PM – 11:45 PM <--> Thursday, August 29th, 2019, 6 PM – 11:45 PM <--> Friday, August 30th, 2019, 6 PM – 11:45 PM <--> Saturday, August 31st, 2019, 6 PM – 11:45 PM <--> Sunday, September 1st, 2019, 6 PM – 11:45 PM ']	Love your friend? Make it forever and have your Fwedding at Friendgasm. Come to our Fwed Chapel and have a self-led ceremony! Friend-love rules! Open 24/hrs
Moon/Rose Temple: Women in the ‘Moon Cycle’	Red Lightning :: Blue Thunder	Care/Support	['Sunday, August 25th, 2019, 6 PM – 8 PM <--> Monday, August 26th, 2019, 6 PM – 8 PM <--> Tuesday, August 27th, 2019, 6 PM – 8 PM <--> Wednesday, August 28th, 2019, 6 PM – 8 PM <--> Thursday, August 29th, 2019, 6 PM – 8 PM <--> Friday, August 30th, 2019, 6 PM – 8 PM <--> Saturday, August 31st, 2019, 6 PM – 8 PM <--> Sunday, September 1st, 2019, 6 PM – 8 PM ']	https://www.redlightning.org
Playa Putt(putt putt golf)	Dr.Baron von Realz, Esq. Sideshow	Game	['Sunday, August 25th, 2019, 6 PM – 6:15 PM <--> Tuesday, August 27th, 2019, 6 PM – 6:15 PM <--> Wednesday, August 28th, 2019, 6 PM – 6:15 PM <--> Thursday, August 29th, 2019, 6 PM – 6:15 PM <--> Friday, August 30th, 2019, 6 PM – 6:15 PM <--> Saturday, August 31st, 2019, 6 PM – 6:15 PM ']	Playa Putt - Come test your skills and win a prize on our Putt Putt green, a mini city to work your balls though, with multiple holes for your pleasure. Open anytime, hosted sporadically by the minions of the Most Spectacular Steampunk Sideshow of Altered Reality and Debauchery
chill dome Safe Space	Dr.Baron von Realz, Esq. Sideshow	Other	['Sunday, August 25th, 2019, 6 PM – 12 AM <--> Monday, August 26th, 2019, 6 PM – 12 AM <--> Tuesday, August 27th, 2019, 6 PM – 12 AM <--> Wednesday, August 28th, 2019, 6 PM – 12 AM <--> Thursday, August 29th, 2019, 6 PM – 12 AM <--> Friday, August 30th, 2019, 6 PM – 12 AM <--> Saturday, August 31st, 2019, 6 PM – 12 AM ']	the dome is open to the public all the time- Safe Space, Need some shade and a place to relax our dome has lots of stuffed animals and a plastic floor covered with rugs. If we do not have an event going on you are welcome to use it.
The Birthing Canal (open 24/7)	Planned Playahood	Ritual/Ceremony	['Sunday, August 25th, 2019, 6 PM – 6 AM <--> Monday, August 26th, 2019, 6 PM – 6 AM <--> Tuesday, August 27th, 2019, 6 PM – 6 AM <--> Wednesday, August 28th, 2019, 6 PM – 6 AM <--> Thursday, August 29th, 2019, 6 PM – 6 AM <--> Friday, August 30th, 2019, 6 PM – 6 AM <--> Saturday, August 31st, 2019, 6 PM – 6 AM ']	Open 24/7 and back for its 3rd year, we have our birth canal for you to be reborn unto dust. Experience the womb dome, squeeze through the canal, and be delivered as we cheer you on! Push your way home and get your bottom slapped (with consent) as we welcome you to the world.
