ARTery	located in The Pavilion at 6:20 and Esplanade	Burning Man Art TeamOn-playa, our headquarters is located with the Everywhere Pavillion and functions as a check-in center for artists, as well as a hub for information about art. Home of the ARTery, Art Support Services (ASS), Fire Art Safety Team (FAST) and Eyes on Art. Open daily from Monday 8/19 from 9am-6pm (closed lunch 1-2pm)
Arctica (Center Camp)	8:45 Center Camp Plaza	Ice is available in 7 lb crushed or 10 lb blocks for $4/bagIce is sold at Arctica in Center Camp, and in the 3:00 and 9:00 plazas, now on G. During the event, Monday to Saturday hours are 9 am to 6 pm, Sunday noon to 6 pm and Exodus Monday in Center Camp only from 9 am to noon. Pre-event, ice is available at Center Camp Arctica. Hours are Thursday through Sunday from noon to 6 pm. 
BAIT Stop	3:00 and L	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	3:00 and J	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	3:00 and G	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	3:00 and E	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	3:00 and B	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	3:00 and Esplanade	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	4:30 and L	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
BAIT Stop	4:30 and J	Want a ride on a Mutant Vehicle? Take the B.A.I.T. (Burn Area Imprecise Transit) – It will eventually get you somewhere!BAIT consists of five routes through Black Rock City that Mutant Vehicles will be driving to take Burners on rides through the city out to the Man and Temple and back.The five color-coded routes have BAIT stops along 3:00, 4:30, 7:30, 9:00 streets at L, J, G, E, B, Esplanade, The Man and The Temple, as well as a route starting at Center Camp. Mutant vehicles will return on the same route. Each route will take between 60-90 minutes round trip.BAIT Routes will run four times per day at approximately 12noon, 3pm, 6pm and 9pmLook for the BAIT STOP signs along the listed routes. Then look for Mutant Vehicles with bright green flags and color-coded Route Signs.
