#Octothorpe	5:45 and I	Come #hashtag with us
#happylovejoy	9:00 and D	
...and then there's only LOVE	7:00 and A	...and then there's only LOVE hosts the Orgy Dome, where our version of consent is anything other than FUCK YES! meas NO!
1001 Nights	4:45 and E	1001 Nights is a desert sanctuary where anyone who enters our dome is immediately welcomed, acknowledge and heard. We offer Makateeb where you can enjoy an Arabic coffee/tea while writing out your story for our treasure chest. Once done, you can reach in and read a story left behind. In our main dome we will have DJs, musical acts, spoken word nights, movies under the stars, etc. The dome is decked out with foam flooring, mattresses, cushions, pillows, blankets and low top tables. So one minute it can be our dance floor and the next minute our lounge. Whatever the offering, we want people to feel like 1001 nights gives rest to weary souls desperate to recharge. It should feel like you would want to stay with us for at least 1001 actual nights.
3907	4:30 and 2400	Your old friends at 4:30 and B are your new friends at 4:30 B Plaza! In the spirit of Metamorphosis, 3907 springs from its Plunderground roots to scintillate your senses and elevate your spirit!
3SP (Third Space Place)	4:15 and G	3SP (Third Space Place) celebrates “third spaces” — relaxing, social places that offer a real sense of welcome and belonging beyond home (“first space”) and work (“second space”). As a true “third space” of radical inclusion and immediacy, 3SP’s comfy retreat from the sun and dust features interactive events on weekdays and silly to deep conversations with 3SP camp members and fellow passers-by ... all of whom are encouraged to stop in and participate with us!
3rd Alternative	5:00 and A	live music camp featuring Daring Greatly band
404: VILLAGE NOT FOUND	3:15 and B	404 is home to Death Before Decaf, Dye With Dignity, M*A*S*H 4207th, Tiny Camp, and Unicorner. A diverse and welcoming environment, you can find something fun 24 hours a day here. Watch a movie, find your inner Unicorn, have a tiny drink while listening to tiny musicians, grab a coffee, dye a scarf, get or give some advice, eat a snow cone, drink the best martini on the playa, photobomb the red carpet, run a security checkpoint, get ticketed by the Disco Police, learn about grey water evaporation, or just find a place you didn’t realize you really needed to be until you got there.
7 Sins Lounge 	9:00 and B	Come Embrace the Heat as the Playa’s “Friendliest Little Slice of Hell” returns for the 18th straight year!Daytime brings what Sinners need – shade, chill music, friendly conversation and slushy drinks.But NIGHT brings what Sinners WANT – Flaming Libations and the ever popular WHEEL of SINS! Spin this brightly painted carnival wheel to expose your Sins again and again! (will it be Greed? or LUST?)Our highly skilled and dedicated staff will happily deliver absolution & encouragement with a FIRM hand, sending you dancing forth to SIN ANEW!So come earn your “Get Out of HELL Free” card and remember:Start your SINS at 7!
7 Sirens Cove	7:30 and A
747 Big Imagination	2:00 and K
8-bit Bunny	7:45 and D	Spin the Wheel at the Bunny Bar, get a kiss at the Kissing Booth, or try the Sauna
A Playa Home Companion	7:15 and D	A cozy camp giving a throwback to simpler times focused on storytelling, volunteerism, community, and cultural advocacy. Come join us for our happy hour, workshops, discussions, and karaoke!
A Shack of Sit	7:15 and 2400	A place to sit, cool off, check in, play games, get braided, be Embigginated and watch the world go by. There is always something happening in the Shack.
AEZ	7:00 and E 	A Burning Man community free of combustion driven generators
ANAHASANA VILLAGE	6:30 and E
ANONYMOUS VILLAGE	5:30 and G	We host any and all 12-Step meetings at Anonymous Village — "any A" meetings, whether it is AA, NA, OA, SLAA, and any other fellowships that support one another's recovery while at Burning Man. There are also meetings that are fellowship specific. If you need a meeting, grab a friend and start one meeting at ANY time that our communal meeting tent is available.
ATARAXIA 	8:15 and 2400	A place to chill and have fun 24/7
Abstininthe	7:15 and E	Abstininthe is the friendly bar on the playa, providing our special drink to the thirsty of BRC for over a decade. Come try our many flavors and enjoy the music, ambiance, and conversation of our neighborhood bar.
Academy of Arts and Science and the Bad Idea Bar	3:00 and E
Acavallo	8:45 and L	MV Support theme camp for the ACAVALLO art car - a mechanical pirate ship with life size faceted metal ponies that carousel.
Adult Novelty Shoppe	3:00 and B
Ain’t No Virgin Mary	7:00 and G 	Bloody Mary bar
Air Phoenix	5:00 and H	We gift tandem skydives in order to provide the opportunity for burners to overcome fear, empower personal change and see the world from a new perspective. We use this experience as a tool to share the message of Love over Fear.
Airpusher	2:30 and A
Al-bukake - DIY HQ	4:00 and E	Al-bukake is a theme camp in Black Rock City, bringing gifts of experiential participatory activities where residents can learn new skills, build and make a unique custom gift to take home and relax in the shade with an Afternoon Tea Service.
Alborz	9:45 and G
Ali Bar-Bar	9:00 Portal	We provide shelter day and night, drinks, and edgy entertainment for the citizens of Black Rock City with the mission to have fun in a welcoming and comfortable environment to chill, relax, drink, and dance. 
All In	9:00 and J	All In MUSIC. All In LIGHTS. All In LOVE.
Alter Ego	5:00 and I
Altitude Lounge	8:45 and C	Climb our 50-ft tower and see the City you helped create. We offer magnificent views, downtempo music, and couches that will suck you in as you watch the world go by.
Amberland	7:15 and H	Cosmic Conversation Mutant Vehicle
Anti M's Home for Wayward Art	5:15 and E
Apocalypse Wow	4:45 and E	American by birth; Black Rock City Citizen by the grace of the gods! Come see us at Apocalypse WOW, the place to be for all the things you love about America (and don't): Mac and Cheese, Vietnamese iced coffee, jousting in patriotic spandex, cold beer and the famous spaghetti burrito… We're here to quash those vibes of impending world doom and give you a chance to prove you're not a Narc while doing a naked handstand. We love you already, we look forward to giving you a high five and shaving your eyebrows.
AquaZone Love Water Bar & Oasis	3:00 and G	Come witness the magic of Positive Intention through the simple act of Drinking Love Infused Water. Stop by for an intentional water cocktail and to fill up on positive intentions and your water bottle. Loads of interactivities to energize your burn.
Arctic Jungle	3:45 and C	Arctic Jungle is bringing back the Dirty Dusty Day Spa for a second year. Stop by Monday, Wednesday, or Friday mornings for a moment of rejuvenation for your body and spirit, and a cold cup-of-joe.
Arrakis Spice Market	2:45 and B	Cooking spices, spice-infused craft cocktails, and chill day hangout
Art Camp Portugal	2:45 and E	The back support of the Portuguese community in BRC 2019
Art Car Camp	5:30 and C	On Playa since 1994 Home to the classic Mutant Vehicles and Original Art Cars of Black Rock City. Come meet our Art car artists and visit our Mused Car Lot.
Art Haus	5:15 and H	Camp of classical musicians and dancers who share their art with love! 
Art Model Camp	7:00 and G	The Art Model camp provides a shaded place to do figure drawing, and/or pose for drawings, no experience necessary for either. Male and female models, 2-20 minute poses in 30 minute sessions, with some artist supplies available (sketch pads and pencils, charcoal). Noon to 3 pm Monday through Sunday. We're located in the AEZ Village (on the G side, at 7:00 - look for the dome and 20x20 shade structure).
Art Wall for All	8:30 and C	Bring inspiration and beauty to the people of the playa! Participate in the creation of a 24 foot long explosion of artistic expression. Bring yourself on over and paint something. You can’t draw? We welcome blobs and stick figures. Paint as much as you like or sit back and watch on our viewing benches. All brushes and paint for the wall are provided, all we need is you! 
Art of Such n Such (A.S.S.) Camp 	5:30 and B	Home to Sparseland Studios and artist Charlie "Blackcat" Smith
Artmisto	3:45 and D	Artmisto is the support camp for Cocoonap installation. We are artists, engineers, dreamers and doers, who believe that the beauty of the creativity is the core of the human kind. 
Ascending Fire	6:45 and E
Ashram Galactica	9:00 and L 	Your home away from home away from home
Asterix and Turbo Bar	3:45 and B	Come to our Turbo Bar and fill up on our electric blue turbo juice and play a round of family feud! Don't have a family? We'll make you one. :)
Astro Cats	7:15 and C
Astrological Dreamers	9:15 and H	We are serving coffee in the morning, fixing bikes in the afternoon, and helping burners establish great connections all day long
Astropups	4:15 and D	Since 2001, the Astropups have been known for providing a cool (and furry) oasis on the playa where countless queer (and queer-friendly) Burners have crossed paths and met new friends. The Astropups camp has always been a hub of daytime and nighttime activity, whether it's one of our queer proms, scavenger hunts, wrestling tournaments, cocktail mixers, tantric workshops, project runway-type competitions, crafternoons or our signature events, the Bear Shower Happy Hours.Aside from our activities, the Astropups have been known for taking in wayward strays on a hot afternoon, either in a lively conversation in our public living room, or crashing in a restful snooze in our fun-fur lined playpen/chill space.
At the Oasis	7:45 and G	Maker Camp - jewelry making and leather branding and more
Atom Cult	7:15 and D	The Most Radiant Camp at Burning Man! Come over to taste our Hot Fusion pancakes and Nuclear Winter Brew coffee in the morning and Cold Fission ice cream at noon. Enjoy the magnificent views of BRC and bounce off the trampoline at the top of our 25′ tall Chilling Tower. Or relax in our Reactor Dome to the soothing sound of the Geiger counter.
Atomic Pussy Photo Lounge	8:10 and E	Come visit what is easily the 3rd best Bar/Lounge and Photo Booth on the playa. We serve ice-cold beverages to fuel your spiritual transformation and ultimate metamorphoses to a higher flow state. New this year is The Elaine Benes Dance Experience (dance classes for dance-introverts), Guided tours of the inner workings of our solar-power, shower, and grey water systems, and Believing the Unbelievable–tales of paranormal experiences - come to listen or come share an experience. Returning this year is our twin-tip, reverse camber Shot-Ski (for those playa face shots) – and of course the photo art and photo gifts.
AutoSub	8:00 and 2400	Automatic Subconscious is Boston's oldest and largest theme camp. Look for our 30 foot dome.
Awesome!(ville)	4:00 and G	The home of Awesome!(ness) and the Crafts n’ Cocktails series. We invite everyone to come by and enjoy art, music, crafts, performances, healing, drinks, and good times. Come get AWESOME with us!
AwesomeTown	8:15 and G
Awesomesauce	2:45 and H	Home of Awesomeball* and the Unicorn Cavalry!*Large blow up wearable balls you can roll around and smash against others in.
Awkward & Tawdry Lounge	6:00 and A
B.E.D	6:15 and H	Ask first, consent is sexy.At B.E.D (Bureau of Erotic Discourse) we believe consent should be the 11th principle! Come to one of our ever popular playshops and get useful info on playa sex, consent techniques, and how to say no comfortably.
BAAAHS	4:30 and D	big-ass amazingly awesome homosexual sheep
BARBIE DEATH VILLAGE	6:00 and F
BLACK ROCK FRENCH QUARTER	8:30 and 2400	The heart of the Big Easy come to Black Rock City, including cocktails, bakery, fresh roasted coffee, botanica and voodoo shop, live music and burlesque, gumbo cookery, brewery, wine cellar, Mardi Gras, jazz funeral for the Man, vineyard, and a few other surprises
BLD (Village)	9:45 and C	Many people in this village work in different departments at Burning Man
BRASA Mission Control Center	3:15 and E	The Moon! It’s not just a weird light-up ball that’s decorating the nighttime sky. Soon, we’ll even have humans up there on the surface! Can you imagine?! Visit us at our Mission Control Center to learn about how BRASA is working towards this future, chat with our scientists to see how exactly this is going to happen, and prepare for your own journey by coming to one of our epic launch simulations to learn about the glorious consequences of combining spaceadillas and standard-issue decommodified beer! [END TRANSMISSION]
BRC HOA	4:00 and F	"A Nice Place to Live in Black Rock City"  CAMPS:  Bearwhalea, Dr Carl's Collection of Departments, Gr[ae]y Matter, The Mystical Order of Dust and Shadows, Prismaticamp, Rejuvenation, ShangriLa, and Trashistan
BRC Sound Lounge	8:30 and H	The BRC Sound Lounge brings the Playa a little bit of everything. Fun camp with camp games (open to public). A large shaded geo dome where you’ll find multiple genres and sounds. last but not least a full size volleyball court with night lighting open 24/7
BRC Tour of Homes	3:15 and E	BRC Realty Office provides full service consulting for playa dwellers- we have answers for your housing problems. We roam the city looking for highly qualified "homes" to feature in our signature event - BRC Tour of Homes. Is it possible your home is unique enough or quirky enough to be included in our tour? We have great prizes! Feel free to stop by our display window and peruse the awesome abodes of Burning Man!
BRC Weekly	6:15 and C	The BRC Weekly is Black Rock City's own independent newsweekly. As BRC's premiere lifestyle & culture rag, the BRC Weekly features insightful articles, colorful editorials, and of course, its infamous Out/In List and Playa Lingo. 
BRC Wheels on Meals	6:15 and E	We provide hot meals to build crews at their installation site during build week
Back To Camp BTC	6:45 and D	Back to camp is a summer camp themed experience. Join us in the trees to make arts and crafts, send your family a post card and sing around the camp fire. 
Back in 5	8:15 and I	Sensorial experience of things you may or may not have tried yet
Baconeers	4:20 and D
Bad Asstronauts	7:30 and E	We are the Bad Asstronauts. Founded in 2014, we're Denver’s sexiest, gayest theme camp bringing you out of this world parties with our resident and extra special guest DJs!
Bad Idea	6:30 and E	Bad Idea airbrush body art, jam sessions, and general mayhem.
Badlands Bordello	8:30 and G	Home of Badlands Bordello and Rootist Lounge
Baggage Check'd	3:45 and C	Check your emotional baggage, set new positive intentions, and join our interactive workshops, classes, and events
Bait Shack	9:00 and G	We are a group of salty sea dogs that want to help YOU catch what you NEED! Please stop by and tell us about the biggest whopper you ever caught. “IT WAS THIIIIIIIS BIG!”
Banya Camp	7:45 and I 	Celebrating the culture of the Slavic steam sauna, with flamethrowers and veniks! Explore the purifying and bonding experience of a traditional Russian sauna: dry and steam heat with birch twig lashings.
Bao Chicka Wow Wow	3:00 and D	Come fill your belly with bao (Chinese dim sum buns): pork, egg custard, and red bean, every day at noon and midnight. And don't miss our Wednesday Night Market.
Bar Mactropolis	3:00 and J	Hydration, Entertainment, Chill space, conversations 
Barbie Day Spa	6:10 and E	Pampering on the playa with fingernail painting, vinegar foot baths, wine, body washes, and erotic massage.  
Barbie Death Camp & Wine Bistro	6:00 and E	Hay, we're Barbie Death Camp. Everyone knows us, at least those who matter.
Bat Country	2:00 and H	Participants entering Bat Country will be welcomed to drink at Los Bastardos Flaming Bar, dance as Bat Country DJs and guests play a variety of music, and will be able to watch Fear and Loathing in Las Vegas on 2 screens, which will be on our dance floor. The original (only 9 were made) 800 lb, 6.5' bronze statue of Hunter S. Thompson will be in the center of our dance floor and participants will be able to pose with and snap a photo of the great piece of art. 
BatCave	7:45 and C	We are gifting artisan lemonade in fun unique flavors every afternoon! And you can come relax away from the heat in our Bat Roost!  
Battle Born Burner Bar	5:45 and I	Friendliest Bar On the Playa! Come by for a Beverage and some Nevadatude!
Bearwhalea	4:00 and F
Beats'n'Deets	5:45 and D	Get your stuff labeled, enjoy a dance, have dinner with us
BeeCHARGE!!	7:15 and E	We are the Bees! We wear black and yellow and buzz around! We take care of Beesness and rock out every year at Black Rock City in our yellow and black. We rely on serious energy, creativity, love, and silly shenanigans to keep our love flowing.
Best Butt	8:15 and E	Camp Best Butt is dedicated to the relentless appreciation and promotion of all things buttocks related. How do you achieve the Best Butt? It's 90% confidence and 10% squats. We are a highly sociable crew that aims to create new and hilarious experiences for the playa. We celebrate our deep and bouncy appreciation for body-positivity through pieces of interactive art and dance, and encourage immediacy and radical self-expression in all that we do.
Bicycle Repair Conflux	4:30 and G	Bicycle repair, healing arts, support for burned out Burners
Big Green Shade	9:45 and C
Big Puffy Yellow	6:00 and K	A collective of burners, artists, DJs, performers and general badasses who love all things Big, Puffy and Yellow! 
Bike Gods	7:15 and E	Bike trouble got ya down? Come visit the Bike Gods, where we practice self reliant bike repair 24 hours a day. Our camp features 8 fully equipped workstations and spare parts. We have caring and compassionate bike mechanics to assist you M-F 10am-6pm. Out on the Playa, look for our Bike Gods Taxi Service running yellow tandems and our famous Lanterne Rouge art car.
Bioluminati / Bike Mutation	5:45 and C	Decorate your bike!
Black Rock Bakery	8:30 and 2400	Gifting fresh baked goods every day! Come bake with us! Or just come to eat.
Black Rock Bandits	4:15 and H	Your friendly neighborhood raccoon art car
Black Rock Bardello	4:30 and K	The Black Rock Bardello is the biggest little theme camp on the playa. We are an eclectic group of Master Builders, Artists, Burlesque, Fire, Improv, and Fetish performers with a community spirit and a rocking bar.
Black Rock Beach	2:45 and D
Black Rock Beacon	6:15 and D	Black Rock City's daily newspaper
Black Rock Boutique 	6:00 and A	The Black Rock Boutique is your fashion headquarters at Burning Man. Since 1996 we've been a fixture on the Playa, helping Burners creatively self-express with funky, freaky, furry, fabulous clothing. You'll find us at Center Camp every year under our Dome of Fashion.
Black Rock Brewery	2:34 and C
Black Rock Center for Unlearning (BRCU) 	5:00 and C	Do you ever get that song from Lucy Daughter of the Devil stuck in your head?Me too. But that’s not really the point.Once upon a time, some Reno kids wanted to go to burning man. Being primarily of the anything-worth-doing-is-worth-overdoing variety, they decided to start a theme camp. And with that, the Black Rock Center for Unlearning was born. Today, many of the original members have gone on to build big art, create their own theme camps, and even open bars in here in Reno. Having been started by mostly virgins, we embrace new burners and the opportunity to help everyone to find their place in this community. On playa, we serve up simple and delicious craft cocktails 24 hours a day. But beyond that, we offer a place to simply be. We hold space for people’s experiences, engage playfulness and human connection. We are Reno based with core members residing all over the US and Canada, but our family spans the globe. London, Germany, Australia, the list goes on.
Black Rock City Hash House Harriers	8:45 and D	BRCH3 is an international group of hashers that come together to bring the fun of hashing to the playa. We offer bike repair in the morning hours, and daily events in the Dome of Bad Decisions in the afternoon. Our flagship event is the Red Dress Run (and bike and skip or however you move yourself) that starts at the Man at 3:00 pm on Thursday.
Black Rock City Repertory Theatre	8:15 and A	Live Theatre on the Playa!
Black Rock City Welding & Repair	3:00 and Portal	Welding, Repair, Adjustment and general tinkering help. Sit down Dive Bar.
Black Rock Explorers	5:00 and F	Black Rock Explorers is an opportunity for Burner kids and their families to explore new practical and artistic skills, learn about Burner acculturation and join us for playa-cational field trips, events and volunteer opportunities hosted by theme camps and services all over Black Rock City.
Black Rock Gladiators	3:00 and 2400	Combat, Comedy, and Courage
Black Rock Lemonade	3:00 and F	Serving Ice Cold Lemonade Daily on the the Playa 16 years & tasty toons !
Black Rock Mystics	5:00 and E	Magic and Miracles in the Dust
Black Rock Observatory	4:15 and G	Theme camp for B.R.O. support
Black Rock Public Library	6:15 and C
Black Rock Roller Disco	7:00 and 2400	20 years of roller skating to the best music on the playa
Black Rock Tea Company	6:30 and A	The Black Rock Tea Company is housed inside brightly painted Tea Shop featuring a 16'x10' decorative facade. That leads into a 24'x30' highly adorned shade space, including a bar space (which includes a historically significant bar top from the very first Theme Camp, the 1990 Tiki Bar) and the Tea Ceremony Tent, a quiet space in which our Tea Master conducts Tea Ceremonies with exotic teas and artifacts from around the world.The Tea Shop Garden features a Michael Garlington tea cup and the Transmogrify Chamber, where visitors can metamorphose into the person of their dreams. Lucky participants will get an instant photo of their transformation. 
Black Rock Travel Agency	Airport Road and Trash Fence	BRTA is a theme camp located at the Black Rock City Municipal Airport since 1998. It provides a home for wayward pilot, airport volunteers, and those seeking a place to escape from the craziness and crowds of Black Rock City. 
Black Rock Wine Cellar	8:30 and 2400	We offer daily wine tasting and climate control storage for your bottles
Black Rock Yearbook	6:00 and D	Professional Portraits with a Bar @ Camp; Roaming to Your Camp for Photos 
Boogie Bug Disco Camp	2:15 and G	We are a Mutant Vehicle and Disco Camp.  
Boom Boom Womb	4:45 and C
Booty Hunters	8:30 and A	The Hunters of the Golden Bubble Butt, spankers of booty-ful Bootys, and givers of booty shorts! A Burning Man camp for all lovers of a good booty!
Brain Freeze / Got Stickers Camp	4:00 and A	Once again Brain Freeze / Got Stickers camp will be returning to the Playa. Besides our frozen margaritas and stickers, the Heart On group will be providing temporary tatoos and other forms of non permanent body art. The Black Rock boat people will be offering coffee each morning. The public area will be open each day for your enjoyment.
Brainy Bar	4:45 and B	A watering hole for big thinkers. New for 2019 - Brainwash salon! Check the board daily for bar times, topics, and other assorted nonsense.
Brand-UR-Ass N More	5:15 and C	Brand-ur-Ass N More will stimulate your entire being, from your mind to your ass. Bare your butt at the hitchin’ post and get a temporary brand. Bathe in sound in the Sonic Spaceship, do some cock ropin’, enjoy tunes, belly up to the saloon, enjoy the giving tree, play some carnival games and hitch a ride on our vehicles. Y’all come N play!
Brass Tax	9:45 & D	We’re still here (and hopefully not ever leaving)! This year in order to tune in to our 24-hour coverage of Brass Tax shenanigans on Radio Malibu you have to stop by the on-playa studio for music, sing-a-longs, live interviews, morning calisthenics, and intraplaya sunrise traffic cone sports reportage.
Breakaway Republic	6:45 and G	Come get a playa name guaranteed to be worse than the one you already have. Our ornery Scottish robot gives them out all day!
Breakfast beats	9:15 and H	Breakfast beats invites all burners to enjoy Norwegian style waffles, mimosa and live beats after the art cars have stopped playing on the playa.
Brûlée	6:30 and 2400	Moulin Brûlée is a kinky circus theme camp: - an erotic, spectacular scene that captures the thrusting, vibrant......wild, Bohemian spirit......that the whole production embodies,The show will be a magnificent......opulent, tremendous, stupendous......gargantuan bedazzlement!A sensual ravishment.
Bubble Camp	6:15 and C	Bubbles, bubbles everywhere and drops to drink for all. Dispensing thai iced tea and cold pressed coffee for all you parched playa peeps. Come at night for the MIND FOREST LED INSTALLATION!
Bubble TEAse	4:15 and C	Because Bubbles effervesce joy! Come hang out and enjoy bubble-themed games while drinking (and learning about!) bubble milk tea or bubbly wine. Jump into a huge bubble for Bubble Soccer and, afterwards, break out of your bubble in the bubble lounge. From the team that brought grilled chicken to the playa as Winner Winner Chicken Dinner in 2014 and 2015, we’re excited to return with more delicious treats! Newly vegan-friendly, kid-approved, joy-sparked.
Bubblearium	8:30 and 2400	Champagne, dahling
Bubbles and Bass	9:15 and 2400	We'll be rockin' you out from 5am til noon with bubbly bass-tastic house music as you watch the sunrise over the playa and dance the AM hours away... and drink some bubbly while you boogie!
